group,model,split,tag,bucket_group,bucket,rollouts,success_0p5cm,success_1cm,success_2cm,success_5cm,mean_best_cm,mean_final_cm,metrics_path
Edge-balanced visual-only,Scratch CNN,OOD,scratch,edge,left_edge,21,0.0,0.047619047619047616,0.047619047619047616,0.2857142857142857,8.668367050233341,8.735128226024765,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Scratch CNN,OOD,scratch,edge,lower_edge,10,0.0,0.0,0.0,0.0,20.755895227193832,23.83734941482544,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Scratch CNN,OOD,scratch,edge,right_edge,20,0.0,0.0,0.0,0.0,12.34077651053667,28.247990310192105,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Scratch CNN,OOD,scratch,edge,upper_edge,13,0.0,0.0,0.0,0.0,21.077044422809895,25.712745350140793,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Scratch CNN,OOD,scratch,interior,interior,69,0.0,0.014492753623188406,0.057971014492753624,0.2318840579710145,9.472977397018585,15.215373695220634,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Scratch CNN,OOD,scratch,corner,all_corner,17,0.0,0.0,0.0,0.0,22.28843043832218,30.401330309755664,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Scratch CNN,OOD,scratch,edge,all_edge,64,0.0,0.015625,0.015625,0.09375,14.22518387553282,20.641198166413233,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Scratch CNN,OOD,scratch,interior,all_interior,69,0.0,0.014492753623188406,0.057971014492753624,0.2318840579710145,9.472977397018585,15.215373695220634,results/edge_balanced_scratch_bc_128px_phase_precise_avoid/metrics/ood/metrics__scratch_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,corner,lower_left_corner,18,0.05555555555555555,0.2222222222222222,0.6111111111111112,1.0,1.9958906858745549,10.029991736842527,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,corner,lower_right_corner,15,0.0,0.13333333333333333,0.4666666666666667,1.0,1.81178734327356,8.587495783964792,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,corner,upper_left_corner,15,0.0,0.0,0.0,0.0,26.002450883388516,30.028171141942344,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
