group,model,split,tag,rollouts,success_0p5cm,success_1cm,success_2cm,success_5cm,mean_best_cm,mean_final_cm,metrics_path
Scratch ablation,Phase only,ID,phase,150,0.0,0.0,0.006666666666666667,0.06,19.211468910177548,22.112752513339125,results/ablation_scratch_phase_only_bc_128px_phase_geo_avoid/metrics/id/metrics__scratch_phase_only_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Scratch ablation,Phase only,OOD,phase,150,0.0,0.0,0.02,0.10666666666666667,14.60373275478681,17.265922496716183,results/ablation_scratch_phase_only_bc_128px_phase_geo_avoid/metrics/ood/metrics__scratch_phase_only_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Scratch ablation,Target geometry only,ID,target,150,0.0,0.22666666666666666,0.9933333333333333,1.0,1.2491658388947446,3.5221967585384846,results/ablation_scratch_target_only_bc_128px_phase_geo_avoid/metrics/id/metrics__scratch_target_only_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Scratch ablation,Target geometry only,OOD,target,150,0.006666666666666667,0.06666666666666667,0.94,1.0,1.464869066607207,3.167723188176751,results/ablation_scratch_target_only_bc_128px_phase_geo_avoid/metrics/ood/metrics__scratch_target_only_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Scratch ablation,Full geometry only,ID,geometry,150,0.08666666666666667,0.31333333333333335,0.8266666666666667,1.0,1.2702039522894968,4.299904654423395,results/ablation_scratch_geometry_only_bc_128px_phase_geo_avoid/metrics/id/metrics__scratch_geometry_only_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Scratch ablation,Full geometry only,OOD,geometry,150,0.05333333333333334,0.21333333333333335,0.82,1.0,1.449877930805087,3.8004191697885594,results/ablation_scratch_geometry_only_bc_128px_phase_geo_avoid/metrics/ood/metrics__scratch_geometry_only_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
Scratch ablation,Phase + geometry,ID,full,150,0.3466666666666667,0.6466666666666666,0.74,0.7466666666666667,3.013175128183017,3.2701001710568867,results/structured_scratch_bc_128px_phase_geo_avoid/metrics/id/metrics__scratch_structured_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Scratch ablation,Phase + geometry,OOD,full,150,0.3466666666666667,0.5333333333333333,0.5533333333333333,0.5866666666666667,4.048125740761558,4.230562999999772,results/structured_scratch_bc_128px_phase_geo_avoid/metrics/ood/metrics__scratch_structured_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
