family,family_dir,split,train_config,task,axis,variant,budget,seed,eval_config,rollout_count,success_rate_at_0p5cm,success_rate_at_1cm,success_rate_at_2cm,success_rate_at_5cm,mean_best_distance,mean_final_distance
Scratch CNN,bc_128px_v1,id,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,20,1,avoid_camera_fixed,150,0.0,0.0,0.0,1.0,0.028839683160185814,1.1571484804153442
Scratch CNN,bc_128px_v1,id,lighting_diverse,reach,lighting_direction_intensity,diverse_train,5,1,lighting_diverse,150,0.0,0.0,1.0,1.0,0.01493311632424593,0.23179357486466567
Scratch CNN,bc_128px_v1,id,spatial_wide,reach,spatial_distribution,wide_train,20,1,spatial_wide,150,0.03333333333333333,0.08666666666666667,0.20666666666666667,0.5533333333333333,0.06660601797824105,0.19698633309453725
Scratch CNN,bc_128px_v1,id,lighting_diverse,reach,lighting_direction_intensity,diverse_train,50,2,lighting_diverse,150,0.0,1.0,1.0,1.0,0.007393909351279338,0.05372924512873093
Scratch CNN,bc_128px_v1,id,camera_fixed,reach,camera_location_viewpoint,fixed_train,5,0,camera_fixed,150,0.0,0.0,0.0,1.0,0.026786908507347107,0.26927095651626587
Scratch CNN,bc_128px_v1,id,spatial_narrow,reach,spatial_distribution,narrow_train,5,2,spatial_narrow,150,0.0,0.0,0.07333333333333333,0.5533333333333333,0.04850936019793153,0.2476387486855189
Scratch CNN,bc_128px_v1,id,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,20,0,avoid_lighting_fixed,150,0.0,0.0,0.0,1.0,0.027389785274863243,1.0984948873519897
Scratch CNN,bc_128px_v1,id,avoid_color_multi,avoid_reach,color,diverse_train,20,1,avoid_color_multi,150,0.0,0.0,1.0,1.0,0.012249544064203899,0.620456463098526
Scratch CNN,bc_128px_v1,id,avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,5,2,avoid_spatial_wide,150,0.0,0.0,0.03333333333333333,0.38,0.08140177960197131,0.1892041543374459
Scratch CNN,bc_128px_v1,id,spatial_wide,reach,spatial_distribution,wide_train,20,2,spatial_wide,150,0.02,0.06,0.3333333333333333,0.49333333333333335,0.06404872198201095,0.19406019980708758
Scratch CNN,bc_128px_v1,id,avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,20,2,avoid_camera_multi_pose,150,0.0,0.0,1.0,1.0,0.01740645950039228,1.0637386155128479
Scratch CNN,bc_128px_v1,id,avoid_color_multi,avoid_reach,color,diverse_train,5,0,avoid_color_multi,150,0.0,1.0,1.0,1.0,0.007954545076936484,0.5340309536457062
Scratch CNN,bc_128px_v1,id,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,2,avoid_lighting_diverse,150,0.0,0.0,0.0,1.0,0.027014992920060953,0.5786908992131551
Scratch CNN,bc_128px_v1,id,avoid_color_red_only,avoid_reach,color,fixed_train,20,2,avoid_color_red_only,150,0.0,0.0,1.0,1.0,0.015039774589240551,1.0772631168365479
Scratch CNN,bc_128px_v1,id,avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,20,0,avoid_spatial_narrow,150,0.0,0.0,0.0,0.38666666666666666,0.07088721252977848,0.2871422756711642
Scratch CNN,bc_128px_v1,id,avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,20,2,avoid_spatial_wide,150,0.0,0.02666666666666667,0.14,0.4866666666666667,0.06420235001482069,0.5283659771084785
Scratch CNN,bc_128px_v1,id,lighting_fixed,reach,lighting_direction_intensity,fixed_train,50,2,lighting_fixed,150,0.0,1.0,1.0,1.0,0.007178441621363163,0.1334300935268402
Scratch CNN,bc_128px_v1,id,color_red_only,reach,color,fixed_train,50,2,color_red_only,150,0.0,1.0,1.0,1.0,0.006046975497156382,0.011065185070037842
Scratch CNN,bc_128px_v1,id,color_multi,reach,color,diverse_train,5,1,color_multi,150,0.0,1.0,1.0,1.0,0.00752389763481915,0.3385919723908106
Scratch CNN,bc_128px_v1,id,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,20,1,avoid_lighting_diverse,150,0.0,0.0,0.0,1.0,0.024525697467227776,0.9572922233740488
Scratch CNN,bc_128px_v1,id,camera_fixed,reach,camera_location_viewpoint,fixed_train,20,2,camera_fixed,150,0.0,0.0,1.0,1.0,0.010054309852421284,0.02297358214855194
Scratch CNN,bc_128px_v1,id,spatial_narrow,reach,spatial_distribution,narrow_train,20,2,spatial_narrow,150,0.0,0.013333333333333334,0.5133333333333333,0.6533333333333333,0.03924393446184695,0.11568288044383128
Scratch CNN,bc_128px_v1,id,lighting_diverse,reach,lighting_direction_intensity,diverse_train,5,0,lighting_diverse,150,0.0,0.0,0.0,1.0,0.022639748168488343,0.27264286736647286
Scratch CNN,bc_128px_v1,id,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,20,0,avoid_camera_fixed,150,0.0,1.0,1.0,1.0,0.005254202056676149,0.7800842523574829
Scratch CNN,bc_128px_v1,id,avoid_color_multi,avoid_reach,color,diverse_train,50,0,avoid_color_multi,150,0.0,0.0,1.0,1.0,0.014779941644519567,0.9100397475560507
Scratch CNN,bc_128px_v1,id,color_multi,reach,color,diverse_train,5,2,color_multi,150,0.0,0.0,1.0,1.0,0.01966935854405165,0.26104780654112497
Scratch CNN,bc_128px_v1,id,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,0,avoid_lighting_diverse,150,0.0,0.0,1.0,1.0,0.010480377885202567,0.567603219350179
Scratch CNN,bc_128px_v1,id,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,50,1,avoid_camera_fixed,150,0.0,0.0,1.0,1.0,0.012871206738054752,0.7170063257217407
Scratch CNN,bc_128px_v1,id,lighting_fixed,reach,lighting_direction_intensity,fixed_train,5,1,lighting_fixed,150,0.0,0.0,1.0,1.0,0.014219888485968113,0.024500032886862755
Scratch CNN,bc_128px_v1,id,avoid_color_multi,avoid_reach,color,diverse_train,20,2,avoid_color_multi,150,0.0,0.0,1.0,1.0,0.019577131755650044,0.9055783263842265
Scratch CNN,bc_128px_v1,id,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,5,0,avoid_camera_fixed,150,0.0,1.0,1.0,1.0,0.00756295770406723,0.5466386079788208
Scratch CNN,bc_128px_v1,id,avoid_color_red_only,avoid_reach,color,fixed_train,50,2,avoid_color_red_only,150,0.0,0.0,0.0,1.0,0.02029736340045929,0.9616236090660095
Scratch CNN,bc_128px_v1,id,avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,5,0,avoid_spatial_narrow,150,0.02666666666666667,0.06666666666666667,0.13333333333333333,0.32,0.07905696416079687,0.4984186975607493
Scratch CNN,bc_128px_v1,id,avoid_color_red_only,avoid_reach,color,fixed_train,5,2,avoid_color_red_only,150,0.0,0.0,0.0,1.0,0.035033825784921646,0.5299871563911438
Scratch CNN,bc_128px_v1,id,spatial_narrow,reach,spatial_distribution,narrow_train,5,0,spatial_narrow,150,0.02,0.06,0.22,0.5466666666666666,0.043575838385149834,0.2697682312130928
Scratch CNN,bc_128px_v1,id,color_red_only,reach,color,fixed_train,5,1,color_red_only,150,1.0,1.0,1.0,1.0,0.00402351887896657,0.32107388973236084
Scratch CNN,bc_128px_v1,id,avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,50,0,avoid_spatial_narrow,150,0.0,0.0,0.03333333333333333,0.7,0.04648464418947697,0.24131274660428365
Scratch CNN,bc_128px_v1,id,lighting_diverse,reach,lighting_direction_intensity,diverse_train,20,0,lighting_diverse,150,0.0,1.0,1.0,1.0,0.00887015093738834,0.1618152036269506
Scratch CNN,bc_128px_v1,id,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,20,2,avoid_lighting_fixed,150,0.0,0.0,1.0,1.0,0.017439192160964012,0.5874841809272766
Scratch CNN,bc_128px_v1,id,avoid_color_multi,avoid_reach,color,diverse_train,50,1,avoid_color_multi,150,0.0,0.0,1.0,1.0,0.016019136669735114,1.0270438798268635
Scratch CNN,bc_128px_v1,id,camera_fixed,reach,camera_location_viewpoint,fixed_train,5,1,camera_fixed,150,0.0,1.0,1.0,1.0,0.005293755792081356,0.3169441223144531
Scratch CNN,bc_128px_v1,id,spatial_wide,reach,spatial_distribution,wide_train,20,0,spatial_wide,150,0.013333333333333334,0.04,0.18,0.3466666666666667,0.10307806921812396,0.26081894282251594
Scratch CNN,bc_128px_v1,id,color_red_only,reach,color,fixed_train,5,0,color_red_only,150,0.0,0.0,1.0,1.0,0.010178153403103352,0.26941579580307007
Scratch CNN,bc_128px_v1,id,spatial_narrow,reach,spatial_distribution,narrow_train,5,1,spatial_narrow,150,0.006666666666666667,0.06666666666666667,0.26,0.56,0.05446849151980132,0.1589663542310397
Scratch CNN,bc_128px_v1,id,lighting_fixed,reach,lighting_direction_intensity,fixed_train,5,0,lighting_fixed,150,0.0,0.0,1.0,1.0,0.015287925489246845,0.26657435297966003
Scratch CNN,bc_128px_v1,id,avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,20,1,avoid_spatial_narrow,150,0.0,0.0,0.02,0.4866666666666667,0.05855808941026529,0.26722779820362724
