train_config,task,axis,variant,budget,seed,num_samples,num_episodes,success_rate,trajectory_len_mean,trajectory_len_p50,trajectory_len_p95,action_mag_mean,action_mag_p95,external_brightness_mean,external_contrast_mean,eef_brightness_mean,eef_contrast_mean,flag_count,flags
avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,5,0,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.1520233154297,48.85197507858276,161.16788139343262,34.16960803031921,0,
avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,5,1,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.1520233154297,48.85197507858276,161.16788139343262,34.16960803031921,0,
avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,5,2,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.1520233154297,48.85197507858276,161.16788139343262,34.16960803031921,0,
avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,20,0,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.15244438171388,48.85460035324097,161.15108154296874,34.18293225288391,0,
avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,20,1,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.15244438171388,48.85460035324097,161.15108154296874,34.18293225288391,0,
avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,20,2,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.15244438171388,48.85460035324097,161.15108154296874,34.18293225288391,0,
avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,50,0,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,208.15268119812012,48.851981468200684,161.1517488861084,34.180794372558594,0,
avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,50,1,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,208.15268119812012,48.851981468200684,161.1517488861084,34.180794372558594,0,
avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,50,2,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,208.15268119812012,48.851981468200684,161.1517488861084,34.180794372558594,0,
avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,5,0,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,216.6892311859131,48.04246326446533,161.16788139343262,34.16960803031921,0,
avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,5,1,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,214.0828401184082,46.268800296783446,161.16788139343262,34.16960803031921,0,
avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,5,2,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.44540092468262,46.331327228546144,161.16788139343262,34.16960803031921,0,
avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,20,0,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,212.66866905212402,47.957916316986086,161.15108154296874,34.18293225288391,0,
avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,20,1,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,212.66892738342284,47.011853981018064,161.15108154296874,34.18293225288391,0,
avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,20,2,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.56792068481445,47.334033241271975,161.15108154296874,34.18293225288391,0,
avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,50,0,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,210.87559112548828,47.759382781982424,161.1517488861084,34.180794372558594,0,
avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,50,1,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,210.45799453735353,47.43251108169556,161.1517488861084,34.180794372558594,0,
avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,50,2,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,209.65096267700196,47.70403205871582,161.1517488861084,34.180794372558594,0,
avoid_color_multi,avoid_reach,color,diverse_train,5,0,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.1520233154297,48.85197507858276,161.20710052490233,34.09293278694153,0,
avoid_color_multi,avoid_reach,color,diverse_train,5,1,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.1520233154297,48.85197507858276,161.18507400512695,34.10825639724732,0,
avoid_color_multi,avoid_reach,color,diverse_train,5,2,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.1520233154297,48.85197507858276,161.17341529846192,34.10978236198425,0,
avoid_color_multi,avoid_reach,color,diverse_train,20,0,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.15244438171388,48.85460035324097,161.1761402130127,34.1207031917572,0,
avoid_color_multi,avoid_reach,color,diverse_train,20,1,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.15244438171388,48.85460035324097,161.16998207092286,34.11868013381958,0,
avoid_color_multi,avoid_reach,color,diverse_train,20,2,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.15244438171388,48.85460035324097,161.1721290588379,34.108611059188846,0,
avoid_color_multi,avoid_reach,color,diverse_train,50,0,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,208.15268119812012,48.851981468200684,161.171227645874,34.12282726287842,0,
avoid_color_multi,avoid_reach,color,diverse_train,50,1,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,208.15268119812012,48.851981468200684,161.17058197021484,34.116836881637575,0,
avoid_color_multi,avoid_reach,color,diverse_train,50,2,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,208.15268119812012,48.851981468200684,161.17560104370116,34.1073805141449,0,
avoid_color_red_only,avoid_reach,color,fixed_train,5,0,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.1520233154297,48.85197507858276,161.16788139343262,34.16960803031921,0,
avoid_color_red_only,avoid_reach,color,fixed_train,5,1,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.1520233154297,48.85197507858276,161.16788139343262,34.16960803031921,0,
avoid_color_red_only,avoid_reach,color,fixed_train,5,2,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,208.1520233154297,48.85197507858276,161.16788139343262,34.16960803031921,0,
avoid_color_red_only,avoid_reach,color,fixed_train,20,0,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.15244438171388,48.85460035324097,161.15108154296874,34.18293225288391,0,
avoid_color_red_only,avoid_reach,color,fixed_train,20,1,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.15244438171388,48.85460035324097,161.15108154296874,34.18293225288391,0,
avoid_color_red_only,avoid_reach,color,fixed_train,20,2,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,208.15244438171388,48.85460035324097,161.15108154296874,34.18293225288391,0,
avoid_color_red_only,avoid_reach,color,fixed_train,50,0,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,208.15268119812012,48.851981468200684,161.1517488861084,34.180794372558594,0,
avoid_color_red_only,avoid_reach,color,fixed_train,50,1,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,208.15268119812012,48.851981468200684,161.1517488861084,34.180794372558594,0,
avoid_color_red_only,avoid_reach,color,fixed_train,50,2,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,208.15268119812012,48.851981468200684,161.1517488861084,34.180794372558594,0,
avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,0,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,153.77478340148926,81.83626415252685,78.65405527114868,11.252134501934052,0,
avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,1,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,143.86114868164063,90.16303848266601,64.54437551498413,11.500164954662322,0,
avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,2,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,135.0568282699585,95.89377780914306,52.824557838439944,8.832687911987305,0,
avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,20,0,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,145.51304695129394,87.8838047027588,67.14039186477662,10.2597336769104,0,
