family,family_label,split,axis,axis_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,id,camera_location_viewpoint,Camera viewpoint,5,12,1800,3,4,62,0.034444444444444444,3.4444444444444446,310,0.17222222222222222,17.22222222222222,651,0.3616666666666667,36.16666666666667,1230,0.6833333333333333,68.33333333333333,0.036400356178346555,0.036400356178346555,0.02487243363978223,0.014072904132182786,0.21853954536106257,0.21853954536106257,0.09629216122758358,0.0544824191014843,399.835,399.83500000000004,0.5715767664977347,0.32340000000000296,3.6400356178346556,21.853954536106258
frozen_resnet18,Frozen ResNet-18,id,camera_location_viewpoint,Camera viewpoint,20,12,1800,3,4,10,0.005555555555555556,0.5555555555555556,386,0.21444444444444444,21.444444444444443,816,0.4533333333333333,45.33333333333333,1653,0.9183333333333333,91.83333333333333,0.03686435092900259,0.03686435092900259,0.04593430992050345,0.025989782473689518,0.24668809141342837,0.24668809141342837,0.12301528923855624,0.06960245214919372,400.0,400.0,0.0,0.0,3.6864350929002585,24.668809141342837
frozen_resnet18,Frozen ResNet-18,id,camera_location_viewpoint,Camera viewpoint,50,12,1800,3,4,4,0.0022222222222222222,0.2222222222222222,288,0.16,16.0,889,0.4938888888888889,49.388888888888886,1800,1.0,100.0,0.02516419203680319,0.02516419203680319,0.013894594600133913,0.007861606974014675,0.2376705574347741,0.23767055743477408,0.10991227408717705,0.06218872341084608,400.0,400.0,0.0,0.0,2.5164192036803192,23.76705574347741
frozen_resnet18,Frozen ResNet-18,id,camera_location_viewpoint,Camera viewpoint,100,4,600,1,4,0,0.0,0.0,233,0.3883333333333333,38.83333333333333,300,0.5,50.0,600,1.0,100.0,0.024896711030354103,0.024896711030354103,0.017484226731802045,0.017134542197166005,0.23849654500683148,0.23849654500683148,0.11917664387331832,0.11679311099585195,400.0,400.0,0.0,0.0,2.4896711030354104,23.849654500683148
frozen_resnet18,Frozen ResNet-18,id,camera_location_viewpoint,Camera viewpoint,200,4,600,1,4,129,0.215,21.5,300,0.5,50.0,300,0.5,50.0,600,1.0,100.0,0.022661413710641985,0.022661413710641985,0.019935466218001754,0.01953675689364172,0.2272813565780719,0.2272813565780719,0.11872474973751074,0.11635025474276052,400.0,400.0,0.0,0.0,2.2661413710641987,22.72813565780719
frozen_resnet18,Frozen ResNet-18,id,color,Color,5,12,1800,3,4,115,0.06388888888888888,6.388888888888888,486,0.27,27.0,750,0.4166666666666667,41.66666666666667,1459,0.8105555555555556,81.05555555555556,0.035764793999389644,0.035764793999389644,0.028844673625374538,0.01632041048065095,0.2222335419141584,0.22223354191415842,0.09725714151829881,0.05502840809947928,400.0,400.0,0.0,0.0,3.5764793999389646,22.22335419141584
frozen_resnet18,Frozen ResNet-18,id,color,Color,20,12,1800,3,4,0,0.0,0.0,450,0.25,25.0,900,0.5,50.0,1691,0.9394444444444444,93.94444444444444,0.033304843652683,0.033304843652683,0.03949687466993776,0.022347460598380726,0.24489642465073203,0.24489642465073203,0.12352492519404948,0.0698908058361646,400.0,400.0,0.0,0.0,3.3304843652683,24.489642465073203
frozen_resnet18,Frozen ResNet-18,id,color,Color,50,12,1800,3,4,0,0.0,0.0,217,0.12055555555555555,12.055555555555555,900,0.5,50.0,1800,1.0,100.0,0.026621171078748174,0.026621171078748174,0.014363915745099645,0.008127150409609376,0.2271779988747504,0.2271779988747504,0.11622552425405479,0.06576078096048824,400.0,400.0,0.0,0.0,2.6621171078748174,22.71779988747504
frozen_resnet18,Frozen ResNet-18,id,color,Color,100,4,600,1,4,150,0.25,25.0,300,0.5,50.0,300,0.5,50.0,600,1.0,100.0,0.02188091750838794,0.02188091750838794,0.01824202532162244,0.01787718481518999,0.22272102298835914,0.22272102298835914,0.11137507720693245,0.10914757566279379,400.0,400.0,0.0,0.0,2.188091750838794,22.272102298835915
frozen_resnet18,Frozen ResNet-18,id,color,Color,200,4,600,1,4,0,0.0,0.0,300,0.5,50.0,300,0.5,50.0,600,1.0,100.0,0.023857920160517097,0.023857920160517097,0.018534107307913376,0.01816342516175511,0.22570839506884416,0.22570839506884416,0.1007574856650827,0.09874233595178104,400.0,400.0,0.0,0.0,2.3857920160517097,22.570839506884415
frozen_resnet18,Frozen ResNet-18,id,lighting_direction_intensity,Lighting,5,12,1800,3,4,272,0.1511111111111111,15.11111111111111,374,0.20777777777777778,20.77777777777778,761,0.42277777777777775,42.27777777777778,1569,0.8716666666666667,87.16666666666667,0.02858570129707611,0.02858570129707611,0.024550663033914333,0.01389084527318595,0.2195481672308718,0.2195481672308718,0.10942432046796544,0.061912637660510285,400.0,400.0,0.0,0.0,2.8585701297076107,21.95481672308718
frozen_resnet18,Frozen ResNet-18,id,lighting_direction_intensity,Lighting,20,12,1800,3,4,75,0.041666666666666664,4.166666666666666,590,0.3277777777777778,32.77777777777778,1110,0.6166666666666667,61.66666666666667,1800,1.0,100.0,0.020522422782507623,0.020522422782507623,0.014200336757151311,0.008034596884338155,0.2386799731416007,0.2386799731416007,0.1182671018428337,0.06691591222353219,400.0,400.0,0.0,0.0,2.052242278250762,23.867997314160068
frozen_resnet18,Frozen ResNet-18,id,lighting_direction_intensity,Lighting,50,12,1800,3,4,150,0.08333333333333333,8.333333333333332,553,0.30722222222222223,30.72222222222222,963,0.535,53.5,1800,1.0,100.0,0.02072805548397203,0.020728055483972035,0.013663205079250219,0.007730686027888212,0.2371123926031093,0.23711239260310926,0.10392036425269038,0.05879848127006326,400.0,400.0,0.0,0.0,2.072805548397203,23.71123926031093
frozen_resnet18,Frozen ResNet-18,id,lighting_direction_intensity,Lighting,100,4,600,1,4,11,0.018333333333333333,1.8333333333333333,331,0.5516666666666666,55.166666666666664,384,0.64,64.0,600,1.0,100.0,0.015775152216665447,0.015775152216665447,0.010888002101454668,0.010670242059425575,0.2280274034291506,0.2280274034291506,0.11882455311258047,0.11644806205032886,400.0,400.0,0.0,0.0,1.5775152216665447,22.802740342915058
frozen_resnet18,Frozen ResNet-18,id,lighting_direction_intensity,Lighting,200,4,600,1,4,0,0.0,0.0,236,0.3933333333333333,39.33333333333333,300,0.5,50.0,600,1.0,100.0,0.020428166690592966,0.020428166690592966,0.01281073229230971,0.012554517646463516,0.21161309249699115,0.21161309249699117,0.12351595507576964,0.12104563597425425,400.0,400.0,0.0,0.0,2.0428166690592966,21.161309249699116
frozen_resnet18,Frozen ResNet-18,id,spatial_distribution,Spatial distribution,5,12,1800,3,4,21,0.011666666666666667,1.1666666666666667,71,0.03944444444444444,3.944444444444444,196,0.10888888888888888,10.888888888888888,614,0.3411111111111111,34.11111111111111,0.0858593288230865,0.0858593288230865,0.03070160191164731,0.01737106656567746,0.2692100859723157,0.2692100859723157,0.04809603152551271,0.02721289161324334,399.82055555555553,399.82055555555553,0.6216137898274896,0.35171111111110687,8.58593288230865,26.921008597231573
frozen_resnet18,Frozen ResNet-18,id,spatial_distribution,Spatial distribution,20,12,1800,3,4,43,0.02388888888888889,2.388888888888889,121,0.06722222222222222,6.722222222222222,372,0.20666666666666667,20.666666666666668,994,0.5522222222222222,55.222222222222214,0.0722931011944052,0.0722931011944052,0.05373436215181041,0.03040307748401897,0.24354297904524072,0.24354297904524072,0.061454405095033596,0.03477110297801584,399.83666666666664,399.83666666666664,0.5658032638058274,0.32013333333333005,7.22931011944052,24.35429790452407
frozen_resnet18,Frozen ResNet-18,id,spatial_distribution,Spatial distribution,50,12,1800,3,4,101,0.05611111111111111,5.611111111111111,338,0.18777777777777777,18.777777777777775,860,0.4777777777777778,47.77777777777778,1447,0.8038888888888889,80.38888888888889,0.03401674348553772,0.034016743485537716,0.020208166233096677,0.01143384641021693,0.18160696646699864,0.18160696646699862,0.042413616423030084,0.023997762601959113,399.6816666666667,399.6816666666667,1.1027390141521833,0.6239333333333322,3.4016743485537724,18.160696646699865
frozen_resnet18,Frozen ResNet-18,id,spatial_distribution,Spatial distribution,100,4,600,1,4,47,0.07833333333333334,7.833333333333334,146,0.24333333333333335,24.333333333333336,288,0.48,48.0,449,0.7483333333333333,74.83333333333333,0.039747234531678256,0.039747234531678256,0.034809295697489834,0.034113109783540034,0.1580300100145784,0.1580300100145784,0.018326208264558937,0.017959684099267757,399.5283333333333,399.5283333333333,0.943333333333328,0.9244666666666614,3.9747234531678255,15.80300100145784
frozen_resnet18,Frozen ResNet-18,id,spatial_distribution,Spatial distribution,200,4,600,1,4,105,0.175,17.5,256,0.4266666666666667,42.66666666666667,348,0.58,57.99999999999999,465,0.775,77.5,0.028847337186937997,0.028847337186937997,0.025083763365347338,0.02458208809804039,0.18580271422989122,0.18580271422989122,0.07685394323445259,0.07531686436976354,399.0466666666667,399.0466666666667,1.1011509130602093,1.079127894799005,2.8847337186938,18.58027142298912
frozen_resnet18,Frozen ResNet-18,ood,camera_location_viewpoint,Camera viewpoint,5,12,1800,3,4,16,0.008888888888888889,0.8888888888888888,79,0.04388888888888889,4.388888888888888,401,0.22277777777777777,22.27777777777778,1287,0.715,71.5,0.04022168626213291,0.04022168626213291,0.018275613163952074,0.010340401576216934,0.22847550629017255,0.22847550629017255,0.09527952544447654,0.05390946647035577,400.0,400.0,0.0,0.0,4.022168626213292,22.847550629017256
frozen_resnet18,Frozen ResNet-18,ood,camera_location_viewpoint,Camera viewpoint,20,12,1800,3,4,17,0.009444444444444445,0.9444444444444444,78,0.043333333333333335,4.333333333333334,394,0.21888888888888888,21.88888888888889,1330,0.7388888888888889,73.88888888888889,0.050973671877646766,0.050973671877646766,0.04181836817338228,0.023660969199533675,0.26400956323903907,0.26400956323903907,0.08536729358787906,0.048301093334292756,399.8383333333333,399.83833333333337,0.5600297611139363,0.3168666666666663,5.097367187764677,26.400956323903905
