family,family_label,split,task,task_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,5,24,3600,3,8,14,0.0038888888888888888,0.3888888888888889,59,0.01638888888888889,1.638888888888889,127,0.035277777777777776,3.5277777777777777,1785,0.49583333333333335,49.583333333333336,0.06574160529378181,0.0657416052937818,0.029621070493437974,0.011850896362842516,0.1767640435209291,0.1767640435209291,0.07302262533247747,0.029215134718023762,400.0,400.0,0.0,0.0,6.574160529378181,17.67640435209291
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,20,24,3600,3,8,17,0.004722222222222222,0.4722222222222222,143,0.03972222222222222,3.9722222222222223,320,0.08888888888888889,8.88888888888889,2740,0.7611111111111111,76.11111111111111,0.06398496572937196,0.06398496572937196,0.051683768736290166,0.02067781402669371,0.1872565259401583,0.1872565259401583,0.11406197461933833,0.04563429402237186,400.0,400.0,0.0,0.0,6.398496572937196,18.72565259401583
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,50,24,3600,3,8,13,0.003611111111111111,0.3611111111111111,55,0.015277777777777777,1.5277777777777777,243,0.0675,6.75,3285,0.9125,91.25,0.04045968725371899,0.04045968725371899,0.009586913577969937,0.0038355642574504027,0.15203343845800393,0.15203343845800393,0.06025532793001348,0.024107151926392116,400.0,400.0,0.0,0.0,4.045968725371899,15.203343845800394
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,100,8,1200,1,8,6,0.005,0.5,49,0.04083333333333333,4.083333333333333,134,0.11166666666666666,11.166666666666666,1050,0.875,87.5,0.04195717102168904,0.04195717102168904,0.01969704521743281,0.013649355957733098,0.13733689748837302,0.13733689748837302,0.026615559623527088,0.018443641840973458,400.0,400.0,0.0,0.0,4.195717102168904,13.733689748837302
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,200,8,1200,1,8,8,0.006666666666666667,0.6666666666666667,31,0.025833333333333333,2.5833333333333335,65,0.05416666666666667,5.416666666666667,1066,0.8883333333333333,88.83333333333333,0.040192493600576806,0.040192493600576806,0.008364803195797039,0.00579651288177821,0.14957735288577775,0.14957735288577775,0.06299604239766993,0.043654030191961506,400.0,400.0,0.0,0.0,4.019249360057681,14.957735288577775
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,5,24,3600,3,8,456,0.12666666666666668,12.666666666666668,1182,0.3283333333333333,32.83333333333333,2231,0.6197222222222222,61.972222222222214,3087,0.8575,85.75,0.027563484855167592,0.027563484855167592,0.02973165106005712,0.011895137803577692,0.28800162671827517,0.28800162671827517,0.07035849661493729,0.02814926124340253,399.8277777777778,399.8277777777778,0.5840411165019923,0.23366511162509335,2.7563484855167593,28.80016267182752
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,20,24,3600,3,8,111,0.030833333333333334,3.0833333333333335,1404,0.39,39.0,2878,0.7994444444444444,79.94444444444444,3398,0.9438888888888889,94.38888888888889,0.017507393549927253,0.017507393549927253,0.014272051742074403,0.0057100099106114,0.29964720818534263,0.2996472081853426,0.05872378943977957,0.023494408915382868,399.91833333333335,399.91833333333335,0.4000833246545816,0.160066666666665,1.7507393549927253,29.964720818534264
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,50,24,3600,3,8,242,0.06722222222222222,6.722222222222222,1341,0.3725,37.25,3369,0.9358333333333333,93.58333333333333,3562,0.9894444444444445,98.94444444444444,0.01280539378881157,0.01280539378881157,0.005696327705865656,0.0022790057268847613,0.2897505192318123,0.2897505192318123,0.07646910731130871,0.03059401468647668,399.8408333333333,399.84083333333336,0.779754234785977,0.31196666666666617,1.280539378881157,28.975051923181226
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,100,8,1200,1,8,202,0.16833333333333333,16.833333333333332,961,0.8008333333333333,80.08333333333333,1138,0.9483333333333334,94.83333333333334,1199,0.9991666666666666,99.91666666666667,0.009192836621853833,0.009192836621853833,0.0044765531774719185,0.003102093085969928,0.28630059323108675,0.28630059323108675,0.08054672139688174,0.05581603024403708,399.76416666666665,399.76416666666665,0.6670373969193061,0.4622333333333307,0.9192836621853834,28.630059323108675
frozen_resnet18,Frozen ResNet-18,id,reach,Reach,200,8,1200,1,8,226,0.18833333333333332,18.833333333333332,1061,0.8841666666666667,88.41666666666667,1183,0.9858333333333333,98.58333333333333,1199,0.9991666666666666,99.91666666666667,0.007704925273768216,0.007704925273768216,0.0024901136483541286,0.0017255607217428505,0.27562542630112147,0.27562542630112147,0.08394288608619259,0.05816945230423833,399.5233333333333,399.5233333333333,0.8827949841990402,0.6117457133301201,0.7704925273768216,27.562542630112148
