family,family_label,task,task_label,axis,axis_label,budget,baseline_config,diverse_config,baseline_success_at_1cm_pct,diverse_success_at_1cm_pct,gain_success_at_1cm_pct,baseline_success_at_5cm_pct,diverse_success_at_5cm_pct,gain_success_at_5cm_pct,baseline_nearest_distance_cm,diverse_nearest_distance_cm,gain_nearest_distance_cm
scratch_cnn,Scratch CNN,reach,Reach,color,Color,5,color_red_only,color_multi,33.33333333333333,66.66666666666666,33.33333333333333,100.0,100.0,0.0,0.908596526986609,1.0481012475987275,0.1395047206121185
scratch_cnn,Scratch CNN,reach,Reach,color,Color,20,color_red_only,color_multi,33.33333333333333,66.66666666666666,33.33333333333333,100.0,100.0,0.0,1.2302076306401029,1.0957166483211849,-0.13449098231891798
scratch_cnn,Scratch CNN,reach,Reach,color,Color,50,color_red_only,color_multi,64.44444444444444,100.0,35.55555555555556,100.0,100.0,0.0,1.031343723802517,0.3626468369426827,-0.6686968868598342
scratch_cnn,Scratch CNN,reach,Reach,color,Color,100,color_red_only,color_multi,100.0,100.0,0.0,100.0,100.0,0.0,0.08763250072176258,0.49777921382337814,0.41014671310161555
scratch_cnn,Scratch CNN,reach,Reach,color,Color,200,color_red_only,color_multi,100.0,100.0,0.0,100.0,100.0,0.0,0.653435565220813,0.12259894737508148,-0.5308366178457316
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,color,Color,5,avoid_color_red_only,avoid_color_multi,0.0,33.33333333333333,33.33333333333333,100.0,100.0,0.0,2.503468098325862,2.199962635835012,-0.30350546249085
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,color,Color,20,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,100.0,100.0,0.0,1.8252099230885506,1.8838130241880815,0.05860310109953093
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,color,Color,50,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,100.0,100.0,0.0,1.729650461425384,1.7004131401578586,-0.02923732126752543
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,color,Color,100,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,100.0,100.0,0.0,2.4371700125435987,1.835083434979121,-0.6020865775644777
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,color,Color,200,avoid_color_red_only,avoid_color_multi,28.000000000000004,0.0,-28.000000000000004,100.0,100.0,0.0,1.1856939662247896,1.3727281671017408,0.18703420087695122
scratch_cnn,Scratch CNN,reach,Reach,spatial_distribution,Spatial distribution,5,spatial_narrow,spatial_wide,0.8888888888888888,0.2222222222222222,-0.6666666666666666,11.11111111111111,14.666666666666666,3.5555555555555554,13.652559077884588,13.59696104242984,-0.055598035454748285
scratch_cnn,Scratch CNN,reach,Reach,spatial_distribution,Spatial distribution,20,spatial_narrow,spatial_wide,1.3333333333333335,3.7777777777777777,2.444444444444444,14.666666666666666,29.777777777777775,15.111111111111109,13.334453339378038,10.905668558035462,-2.4287847813425767
scratch_cnn,Scratch CNN,reach,Reach,spatial_distribution,Spatial distribution,50,spatial_narrow,spatial_wide,4.444444444444445,4.888888888888889,0.44444444444444464,20.444444444444446,54.0,33.55555555555556,13.552728175340842,7.0736030717121645,-6.479125103628678
scratch_cnn,Scratch CNN,reach,Reach,spatial_distribution,Spatial distribution,100,spatial_narrow,spatial_wide,11.333333333333332,14.000000000000002,2.6666666666666696,35.333333333333336,50.66666666666667,15.333333333333336,12.79566861083731,7.407561510646095,-5.388107100191216
scratch_cnn,Scratch CNN,reach,Reach,spatial_distribution,Spatial distribution,200,spatial_narrow,spatial_wide,12.666666666666668,6.666666666666667,-6.000000000000001,34.66666666666667,55.333333333333336,20.666666666666664,13.076040510243425,6.172862306082001,-6.903178204161424
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,5,avoid_spatial_narrow,avoid_spatial_wide,2.4444444444444446,3.111111111111111,0.6666666666666665,19.333333333333332,24.88888888888889,5.555555555555557,12.801560030422277,11.785619888661635,-1.015940141760641
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,20,avoid_spatial_narrow,avoid_spatial_wide,1.7777777777777777,2.2222222222222223,0.44444444444444464,20.0,36.0,16.0,13.069844408064252,9.271747040614072,-3.798097367450181
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,50,avoid_spatial_narrow,avoid_spatial_wide,0.6666666666666667,1.5555555555555556,0.8888888888888888,18.666666666666668,32.44444444444444,13.777777777777775,12.8993385978457,9.606523572570747,-3.292815025274953
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,100,avoid_spatial_narrow,avoid_spatial_wide,4.0,10.666666666666668,6.666666666666668,21.333333333333336,45.33333333333333,23.999999999999993,11.59546509447197,6.740958095372965,-4.854506999099006
