family,family_label,split,task,task_label,axis,axis_label,train_config,variant,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,color,Color,avoid_color_multi,diverse_train,50,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,450,1.0,100.0,0.04135812795824475,0.04135812795824475,0.0009536508702357573,0.0010791575498213294,0.10890363262759314,0.10890363262759316,0.055548839080912356,0.06285942890521047,400.0,400.0,0.0,0.0,4.135812795824475,10.890363262759314
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,color,Color,avoid_color_multi,diverse_train,100,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.03722782902419567,0.03722782902419567,0.0,0.0,0.14210176289081575,0.14210176289081575,0.0,0.0,400.0,400.0,0.0,0.0,3.722782902419567,14.210176289081575
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,color,Color,avoid_color_multi,diverse_train,200,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.0383701274295648,0.0383701274295648,0.0,0.0,0.1381857427954674,0.1381857427954674,0.0,0.0,400.0,400.0,0.0,0.0,3.8370127429564795,13.81857427954674
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,color,Color,avoid_color_red_only,fixed_train,5,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,0.3333333333333333,33.33333333333333,0.05947112167874972,0.05947112167874972,0.02318692787609997,0.026238478939855644,0.15592501560846964,0.15592501560846964,0.053285532778445666,0.060298256719354536,400.0,400.0,0.0,0.0,5.947112167874971,15.592501560846964
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,color,Color,avoid_color_red_only,fixed_train,20,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,450,1.0,100.0,0.0351144274075826,0.0351144274075826,0.0031883845072070032,0.003607996720891352,0.10864807044466336,0.10864807044466336,0.04606999323305669,0.05213310506955225,400.0,400.0,0.0,0.0,3.5114427407582602,10.864807044466335
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,color,Color,avoid_color_red_only,fixed_train,50,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,450,1.0,100.0,0.038827523589134216,0.038827523589134216,0.0027319390654298795,0.0030914800794777674,0.15050635611017546,0.15050635611017546,0.1067669664135484,0.12081819612686694,400.0,400.0,0.0,0.0,3.8827523589134216,15.050635611017546
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,color,Color,avoid_color_red_only,fixed_train,100,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.03772420808672905,0.03772420808672905,0.0,0.0,0.11383550614118576,0.11383550614118576,0.0,0.0,400.0,400.0,0.0,0.0,3.772420808672905,11.383550614118576
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,color,Color,avoid_color_red_only,fixed_train,200,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.04135121777653694,0.04135121777653694,0.0,0.0,0.14060896635055542,0.14060896635055542,0.0,0.0,400.0,400.0,0.0,0.0,4.135121777653694,14.060896635055542
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_diverse,diverse_train,5,3,450,3,1,14,0.03111111111111111,3.111111111111111,52,0.11555555555555555,11.555555555555555,79,0.17555555555555555,17.555555555555554,219,0.4866666666666667,48.66666666666667,0.06266370219488938,0.06266370219488938,0.025309652542706375,0.028640568028909748,0.18311400137013858,0.18311400137013858,0.07923425843227512,0.08966200405243226,400.0,400.0,0.0,0.0,6.266370219488938,18.31140013701386
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_diverse,diverse_train,20,3,450,3,1,0,0.0,0.0,106,0.23555555555555555,23.555555555555554,210,0.4666666666666667,46.666666666666664,450,1.0,100.0,0.024333579659255016,0.024333579659255016,0.014973625963367248,0.016944252882161906,0.2235188959621721,0.2235188959621721,0.13786356011416318,0.15600730454497042,400.0,400.0,0.0,0.0,2.433357965925502,22.35188959621721
