family,family_label,axis,axis_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,camera_location_viewpoint,Camera viewpoint,5,12,1800,3,4,16,0.008888888888888889,0.8888888888888888,79,0.04388888888888889,4.388888888888888,401,0.22277777777777777,22.27777777777778,1287,0.715,71.5,0.04022168626213291,0.04022168626213291,0.018275613163952074,0.010340401576216934,0.22847550629017255,0.22847550629017255,0.09527952544447654,0.05390946647035577,400.0,400.0,0.0,0.0,4.022168626213292,22.847550629017256
frozen_resnet18,Frozen ResNet-18,camera_location_viewpoint,Camera viewpoint,20,12,1800,3,4,17,0.009444444444444445,0.9444444444444444,78,0.043333333333333335,4.333333333333334,394,0.21888888888888888,21.88888888888889,1330,0.7388888888888889,73.88888888888889,0.050973671877646766,0.050973671877646766,0.04181836817338228,0.023660969199533675,0.26400956323903907,0.26400956323903907,0.08536729358787906,0.048301093334292756,399.8383333333333,399.83833333333337,0.5600297611139363,0.3168666666666663,5.097367187764677,26.400956323903905
frozen_resnet18,Frozen ResNet-18,camera_location_viewpoint,Camera viewpoint,50,12,1800,3,4,18,0.01,1.0,162,0.09,9.0,535,0.2972222222222222,29.72222222222222,1541,0.8561111111111112,85.61111111111111,0.03968218173175248,0.03968218173175248,0.02495497957807567,0.01411960889348313,0.25022600138285067,0.25022600138285067,0.0994157405779109,0.05624975049265601,399.8355555555556,399.8355555555556,0.5696522656004378,0.3223111111111151,3.968218173175248,25.022600138285068
frozen_resnet18,Frozen ResNet-18,camera_location_viewpoint,Camera viewpoint,100,4,600,1,4,0,0.0,0.0,79,0.13166666666666665,13.166666666666666,165,0.275,27.500000000000004,573,0.955,95.5,0.032906966612208634,0.032906966612208634,0.01571308565788031,0.015398823944722704,0.23477856183424592,0.23477856183424592,0.09700443316097061,0.0950643444977512,400.0,400.0,0.0,0.0,3.2906966612208635,23.477856183424592
frozen_resnet18,Frozen ResNet-18,camera_location_viewpoint,Camera viewpoint,200,4,600,1,4,125,0.20833333333333334,20.833333333333336,160,0.26666666666666666,26.666666666666668,205,0.3416666666666667,34.166666666666664,575,0.9583333333333334,95.83333333333334,0.02998303156637121,0.02998303156637121,0.02003275875300642,0.01963210357794629,0.2206221366735796,0.2206221366735796,0.09863866270092365,0.09666588944690518,400.0,400.0,0.0,0.0,2.998303156637121,22.06221366735796
frozen_resnet18,Frozen ResNet-18,color,Color,5,12,1800,3,4,108,0.06,6.0,338,0.18777777777777777,18.777777777777775,711,0.395,39.5,1389,0.7716666666666666,77.16666666666666,0.042107945382336365,0.042107945382336365,0.04283724154439278,0.024237451078256266,0.23741275251532595,0.23741275251532593,0.1154469093746095,0.0653202381204503,400.0,400.0,0.0,0.0,4.210794538233636,23.741275251532596
frozen_resnet18,Frozen ResNet-18,color,Color,20,12,1800,3,4,0,0.0,0.0,234,0.13,13.0,790,0.4388888888888889,43.888888888888886,1650,0.9166666666666666,91.66666666666666,0.04000497453846037,0.04000497453846037,0.05189115214934086,0.029360183248742143,0.24474102252266472,0.24474102252266472,0.13558778856144654,0.07671601330028169,400.0,400.0,0.0,0.0,4.000497453846037,24.474102252266473
frozen_resnet18,Frozen ResNet-18,color,Color,50,12,1800,3,4,79,0.04388888888888889,4.388888888888888,149,0.08277777777777778,8.277777777777779,671,0.37277777777777776,37.27777777777778,1758,0.9766666666666667,97.66666666666667,0.03178496412790587,0.03178496412790587,0.021204585358913473,0.01199762360372263,0.22637390336435703,0.22637390336435703,0.11903473880965075,0.06735024372477529,400.0,400.0,0.0,0.0,3.178496412790587,22.637390336435704
frozen_resnet18,Frozen ResNet-18,color,Color,100,4,600,1,4,0,0.0,0.0,188,0.31333333333333335,31.333333333333336,261,0.435,43.5,600,1.0,100.0,0.024414798182745775,0.024414798182745775,0.01630471515994326,0.015978620856744397,0.23684682397792736,0.23684682397792736,0.1259556427532942,0.12343652989822833,400.0,400.0,0.0,0.0,2.4414798182745776,23.684682397792738
frozen_resnet18,Frozen ResNet-18,color,Color,200,4,600,1,4,38,0.06333333333333334,6.333333333333334,79,0.13166666666666665,13.166666666666666,300,0.5,50.0,600,1.0,100.0,0.02501501186750829,0.025015011867508295,0.016077788034296155,0.01575623227361023,0.22388073311497766,0.22388073311497766,0.0968964287687252,0.0949585001933507,400.0,400.0,0.0,0.0,2.501501186750829,22.388073311497767
