family,family_label,split,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,id,5,48,7200,3,16,470,0.06527777777777778,6.527777777777779,1241,0.1723611111111111,17.23611111111111,2358,0.3275,32.75,4872,0.6766666666666666,67.66666666666666,0.0466525450744747,0.0466525450744747,0.03512971133760763,0.009938252665687592,0.23238283511960212,0.23238283511960212,0.09050518989272464,0.025604065916335156,399.9138888888889,399.91388888888883,0.4177273497053821,0.11817574892213294,4.66525450744747,23.238283511960212
frozen_resnet18,Frozen ResNet-18,id,20,48,7200,3,16,128,0.017777777777777778,1.7777777777777777,1547,0.2148611111111111,21.48611111111111,3198,0.44416666666666665,44.416666666666664,6138,0.8525,85.25,0.040746179639649605,0.040746179639649605,0.044253802591220054,0.012519472970965673,0.24345186706275046,0.24345186706275046,0.10620415786745399,0.030045329575577717,399.95916666666665,399.9591666666667,0.2829016319029137,0.08003333333333251,4.07461796396496,24.345186706275047
frozen_resnet18,Frozen ResNet-18,id,50,48,7200,3,16,255,0.035416666666666666,3.5416666666666665,1396,0.1938888888888889,19.38888888888889,3612,0.5016666666666667,50.16666666666667,6847,0.9509722222222222,95.09722222222223,0.02663254052126528,0.026632540521265277,0.016003544669888462,0.004527428903342669,0.2208919788449081,0.2208919788449081,0.09736870014930633,0.027545764168504523,399.92041666666665,399.92041666666665,0.5513695070760916,0.15598333333333303,2.663254052126528,22.08919788449081
frozen_resnet18,Frozen ResNet-18,id,100,16,2400,1,16,208,0.08666666666666667,8.666666666666668,1010,0.42083333333333334,42.083333333333336,1272,0.53,53.0,2249,0.9370833333333334,93.70833333333334,0.025575003821771438,0.025575003821771438,0.02183284721880495,0.010698095137214425,0.2118187453597299,0.2118187453597299,0.09630987038039734,0.047191836486394696,399.88208333333336,399.88208333333336,0.471666666666664,0.23111666666666536,2.557500382177144,21.181874535972987
frozen_resnet18,Frozen ResNet-18,id,200,16,2400,1,16,234,0.0975,9.75,1092,0.455,45.5,1248,0.52,52.0,2265,0.94375,94.375,0.023948709437172512,0.023948709437172512,0.017804423743476745,0.008724167634303606,0.21260138959344962,0.21260138959344962,0.09683554224306254,0.04744941569910064,399.76166666666666,399.76166666666666,0.6513643800174794,0.31916854620856494,2.394870943717251,21.260138959344964
frozen_resnet18,Frozen ResNet-18,ood,5,48,7200,3,16,130,0.018055555555555554,1.8055555555555554,552,0.07666666666666666,7.666666666666666,1626,0.22583333333333333,22.583333333333332,4213,0.5851388888888889,58.513888888888886,0.065335517373088,0.065335517373088,0.04703238376194231,0.013305538118537718,0.2566959510928589,0.2566959510928589,0.08762896285807997,0.024790376594510895,400.0,400.0,0.0,0.0,6.5335517373088,25.669595109285893
frozen_resnet18,Frozen ResNet-18,ood,20,48,7200,3,16,27,0.00375,0.375,347,0.04819444444444444,4.819444444444445,1706,0.23694444444444446,23.694444444444446,4662,0.6475,64.75,0.06257823147823122,0.06257823147823123,0.05025300211143635,0.014216656305346059,0.2638386413826811,0.2638386413826811,0.09376585015217588,0.0265265120248149,399.9197222222222,399.9197222222222,0.3890825927581356,0.1100721004362945,6.257823147823122,26.38386413826811
frozen_resnet18,Frozen ResNet-18,ood,50,48,7200,3,16,179,0.02486111111111111,2.486111111111111,611,0.08486111111111111,8.48611111111111,1921,0.2668055555555556,26.680555555555557,5297,0.7356944444444444,73.56944444444444,0.04798091348216177,0.04798091348216177,0.029969160557922477,0.008478324428596792,0.2379197391321375,0.2379197391321375,0.08926273873614615,0.025252574456579437,399.9588888888889,399.95888888888885,0.2848261328002189,0.08057777777777878,4.798091348216177,23.79197391321375
frozen_resnet18,Frozen ResNet-18,ood,100,16,2400,1,16,7,0.002916666666666667,0.2916666666666667,309,0.12875,12.875,590,0.24583333333333332,24.583333333333332,1875,0.78125,78.125,0.04759085524477996,0.04759085524477996,0.034625359923895274,0.016966426362708686,0.23092282326581579,0.23092282326581579,0.09030243733559967,0.04424819429444384,400.0,400.0,0.0,0.0,4.759085524477996,23.09228232658158
frozen_resnet18,Frozen ResNet-18,ood,200,16,2400,1,16,188,0.07833333333333334,7.833333333333334,330,0.1375,13.750000000000002,756,0.315,31.5,1929,0.80375,80.375,0.04229708623994763,0.04229708623994763,0.029826332593594327,0.01461490297086122,0.2304087502536519,0.2304087502536519,0.08341321847070457,0.040872477050645235,400.0,400.0,0.0,0.0,4.229708623994763,23.04087502536519
