metrics_path,split,train_config,task,axis,variant,budget,seed,eval_config,rollout_count,success_rate_at_0p5cm,success_rate_at_1cm,success_rate_at_2cm,success_rate_at_5cm,mean_best_distance,mean_final_distance,mean_steps,mean_success_steps
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__spatial_narrow__budget050__seed002__eval_spatial_edge_ood_eval.json,ood,spatial_narrow,reach,spatial_distribution,narrow_train,50,2,spatial_edge_ood_eval,150,0.013333333333333334,0.04,0.08666666666666667,0.17333333333333334,0.13535456462142367,0.29966865309203666,400.0,127.23076923076923
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__lighting_fixed__budget020__seed000__eval_lighting_extreme_ood_eval.json,ood,lighting_fixed,reach,lighting_direction_intensity,fixed_train,20,0,lighting_extreme_ood_eval,150,0.0,0.5866666666666667,0.5866666666666667,1.0,0.015381167282660802,0.08085453793406487,400.0,79.01333333333334
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_camera_multi_pose__budget050__seed000__eval_avoid_camera_extreme_ood_eval.json,ood,avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,50,0,avoid_camera_extreme_ood_eval,150,0.0,0.0,0.0,0.0,0.21120596061150232,0.5118936312198639,400.0,
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_lighting_fixed__budget020__seed002__eval_avoid_lighting_extreme_ood_eval.json,ood,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,20,2,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.5133333333333333,1.0,0.024679989566405613,0.5267526147762934,400.0,142.21333333333334
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_camera_multi_pose__budget005__seed000__eval_avoid_camera_extreme_ood_eval.json,ood,avoid_camera_multi_pose,avoid_reach,camera_location_viewpoint,diverse_train,5,0,avoid_camera_extreme_ood_eval,150,0.0,0.0,1.0,1.0,0.01265231100221475,0.5809058233102162,400.0,144.0
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__color_multi__budget005__seed002__eval_color_ood_eval.json,ood,color_multi,reach,color,diverse_train,5,2,color_ood_eval,150,0.0,0.0,1.0,1.0,0.019669725075364113,0.261068847378095,400.0,81.0
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_spatial_narrow__budget005__seed000__eval_avoid_spatial_edge_ood_eval.json,ood,avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,5,0,avoid_spatial_edge_ood_eval,150,0.0,0.03333333333333333,0.08666666666666667,0.20666666666666667,0.13739748888959488,0.5213870318979025,400.0,125.83870967741936
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__color_red_only__budget020__seed002__eval_color_ood_eval.json,ood,color_red_only,reach,color,fixed_train,20,2,color_ood_eval,150,0.0,0.0,1.0,1.0,0.01392239843805631,0.06945003293454648,400.0,74.09333333333333
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__spatial_narrow__budget005__seed002__eval_spatial_edge_ood_eval.json,ood,spatial_narrow,reach,spatial_distribution,narrow_train,5,2,spatial_edge_ood_eval,150,0.0,0.006666666666666667,0.03333333333333333,0.12666666666666668,0.1380662131185333,0.3033962750931581,400.0,104.15789473684211
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_lighting_fixed__budget020__seed000__eval_avoid_lighting_extreme_ood_eval.json,ood,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,20,0,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.4866666666666667,0.7666666666666667,0.03564852027843396,0.7640895338853201,400.0,194.37391304347827
