split,budget,n_models,rollouts_total,success_rate_at_0p5cm_mean,success_rate_at_0p5cm_std,success_rate_at_0p5cm_ci95,success_rate_at_1cm_mean,success_rate_at_1cm_std,success_rate_at_1cm_ci95,success_rate_at_2cm_mean,success_rate_at_2cm_std,success_rate_at_2cm_ci95,success_rate_at_5cm_mean,success_rate_at_5cm_std,success_rate_at_5cm_ci95,mean_best_distance_mean,mean_best_distance_std,mean_best_distance_ci95,mean_final_distance_mean,mean_final_distance_std,mean_final_distance_ci95,mean_steps_mean,mean_steps_std,mean_steps_ci95,mean_success_steps_mean,mean_success_steps_std,mean_success_steps_ci95
id,5,48,7200,0.043194444444444445,0.2016855197017575,0.05705716265481504,0.1938888888888889,0.39178522927574055,0.11083668071756536,0.5480555555555556,0.479469680118437,0.13564275495347525,0.8443055555555555,0.2850888114564507,0.08065208999829282,0.03183325540292976,0.0292743829247486,0.008281770702362256,0.38701475763359566,0.15108963205549145,0.042743503472109756,399.96166666666664,0.26558112382722426,0.07513333333333232,117.03955718211823,34.55426861790055,9.775458981215804
id,20,48,7200,0.04402777777777778,0.20157647984366214,0.057026315101017404,0.2723611111111111,0.4335329372984436,0.12264717544539452,0.6665277777777777,0.43384800768774506,0.1227363093726922,0.8773611111111111,0.22066625777568483,0.0624268444306509,0.026052630880739242,0.023576578873056406,0.006669852637875485,0.47018588292608915,0.3988421435649687,0.112833093286187,399.9602777777778,0.27520362831372563,0.0778555555555567,112.66955094575049,31.29543817491592,8.853530530800548
id,50,48,7200,0.2584722222222222,0.43389977072165975,0.1227509532194589,0.3938888888888889,0.4774554963397401,0.13507293907552953,0.6429166666666667,0.4407706688357452,0.12469474150857236,0.8706944444444445,0.25041521862276683,0.07084287400170639,0.02681014140443747,0.03681960997653546,0.010416327748390793,0.3951757830577359,0.3986538304684939,0.11277981920388559,394.2356944444444,39.68839756354913,11.22791243833979,115.23574984355048,34.74322001596106,9.932926204785774
ood,5,48,7200,0.04805555555555555,0.20480727645416721,0.057940312734475696,0.21611111111111111,0.39823685488989163,0.11266185613223535,0.5127777777777778,0.47178115961635425,0.133467659956517,0.7937500000000001,0.36214858241429143,0.10245242495633093,0.04544383869005186,0.05006076737369757,0.014162272784331329,0.394862181765493,0.14487096165111693,0.040984231466445836,400.0,0.0,0.0,119.10301720853994,36.11349217749335,10.216565870726082
ood,20,48,7200,0.04805555555555555,0.18368931697141438,0.05196600753434524,0.26125000000000004,0.3956349446854572,0.111925771489336,0.5797222222222222,0.4335088751553484,0.12264036822584581,0.7997222222222221,0.32826201359064966,0.09286585933653219,0.04187410806438291,0.045666306723364275,0.012919072695018888,0.46358757985673343,0.364043009846149,0.10298836156832511,399.9284722222222,0.34829877553192345,0.0985342919877688,118.96140255595348,38.71391583696068,10.952229967628346
ood,50,48,7200,0.16125,0.32965246045017027,0.09325921902216486,0.30624999999999997,0.39974556032852204,0.11308867136288471,0.5466666666666666,0.42352343975146467,0.11981547225482596,0.7851388888888889,0.33406795527132604,0.09450836971272869,0.04435306763297073,0.05042103577154627,0.014264193302005774,0.40418528589856173,0.37174366296235,0.10516688890161664,395.52791666666667,22.28259534124883,6.303782585071621,118.5740284170649,36.6327743969147,10.473141078862493
