split,budget,axis,n_models,rollouts_total,success_rate_at_0p5cm_mean,success_rate_at_0p5cm_std,success_rate_at_0p5cm_ci95,success_rate_at_1cm_mean,success_rate_at_1cm_std,success_rate_at_1cm_ci95,success_rate_at_2cm_mean,success_rate_at_2cm_std,success_rate_at_2cm_ci95,success_rate_at_5cm_mean,success_rate_at_5cm_std,success_rate_at_5cm_ci95,mean_best_distance_mean,mean_best_distance_std,mean_best_distance_ci95,mean_final_distance_mean,mean_final_distance_std,mean_final_distance_ci95,mean_steps_mean,mean_steps_std,mean_steps_ci95,mean_success_steps_mean,mean_success_steps_std,mean_success_steps_ci95
id,5,color,12,1800,0.16666666666666666,0.3892494720807615,0.2202386217379924,0.3333333333333333,0.49236596391733095,0.27858226937133096,0.6666666666666666,0.49236596391733095,0.27858226937133096,1.0,0.0,0.0,0.01667488185197322,0.010541064786328809,0.0059641688600935786,0.4110817932917012,0.1356496042754985,0.07675098883304675,400.0,0.0,0.0,111.08333333333333,34.81237589064434,19.69695589976207
id,5,spatial_distribution,12,1800,0.006111111111111111,0.009193029126016328,0.005201445883762125,0.025555555555555554,0.03150543750835072,0.017825879369855555,0.10888888888888888,0.0853434337456707,0.048287593357697375,0.3772222222222222,0.1730173888226754,0.09789380329103263,0.07624637079473663,0.02305991574027527,0.013047375588935256,0.3309341567372838,0.12971012797664863,0.07339041375786012,399.84666666666664,0.5311622476544485,0.30053333333332927,134.64878428402847,35.34919914478637,20.000692249042498
id,5,camera_location_viewpoint,12,1800,0.0,0.0,0.0,0.3333333333333333,0.49236596391733095,0.27858226937133096,0.75,0.45226701686664544,0.2558941542548758,1.0,0.0,0.0,0.01630777198045204,0.00981752069316369,0.005554785250673323,0.41675541991160975,0.14068477079121725,0.07959990248144627,400.0,0.0,0.0,111.91666666666667,34.16925341279611,19.333075102768646
id,5,lighting_direction_intensity,12,1800,0.0,0.0,0.0,0.08333333333333333,0.28867513459481287,0.16333333333333333,0.6666666666666666,0.49236596391733095,0.27858226937133096,1.0,0.0,0.0,0.018103996984557145,0.007164703450070979,0.004053812596251074,0.38928766059378783,0.19361568238007323,0.10954838501463901,400.0,0.0,0.0,110.50944444444444,31.945193401848133,18.074694689674246
id,20,color,12,1800,0.08333333333333333,0.28867513459481287,0.16333333333333333,0.3161111111111111,0.47003510149030003,0.26594739452651783,0.8927777777777778,0.29298130851309806,0.16576978059081465,1.0,0.0,0.0,0.013234024407704258,0.006015352819136978,0.003403506258011322,0.5315274309780863,0.42773151880390003,0.2420118893718728,400.0,0.0,0.0,109.75444444444445,35.08213748291814,19.849587889120045
id,20,spatial_distribution,12,1800,0.009444444444444445,0.012539499879941674,0.007094889958563854,0.029444444444444443,0.030939280166788905,0.01750554569817225,0.18999999999999997,0.14426406764028668,0.0816250803207797,0.5094444444444445,0.10565651737256752,0.05978080237175643,0.06255709130656517,0.016925717013371977,0.009576625928419784,0.29259933623960627,0.1463354329540787,0.08279706557585742,399.8411111111111,0.5504072566274513,0.3114222222222268,120.08931489411306,19.317823730922786,10.930087716581891
id,20,camera_location_viewpoint,12,1800,0.0,0.0,0.0,0.5055555555555555,0.5167562646325994,0.2923823811212356,0.8333333333333334,0.3892494720807615,0.2202386217379924,1.0,0.0,0.0,0.012585118285949446,0.007769561803700689,0.004396043426874986,0.5647006997476435,0.5166322804606203,0.29231223047206956,400.0,0.0,0.0,115.5788888888889,39.969224709840496,22.614717792616513
id,20,lighting_direction_intensity,12,1800,0.08333333333333333,0.28867513459481287,0.16333333333333333,0.2383333333333333,0.4325365635271529,0.24473059935902228,0.75,0.45226701686664544,0.2558941542548758,1.0,0.0,0.0,0.015834289522738094,0.006873433372348218,0.0038890110356265568,0.49191606473902033,0.39954723447136814,0.22606512930849465,400.0,0.0,0.0,105.25555555555555,29.064210534723525,16.444625180486454
id,50,color,12,1800,0.4166666666666667,0.5149286505444373,0.29134831110517595,0.5,0.5222329678670935,0.2954811176862084,0.8333333333333334,0.3892494720807615,0.2202386217379924,1.0,0.0,0.0,0.010620451863053151,0.007720290567264172,0.004368165600487457,0.47692279527448894,0.47333832315385227,0.26781636812482984,377.0833333333333,79.38566201357354,44.916666666666664,111.66666666666667,34.96578414115806,19.783754788597477
id,50,spatial_distribution,12,1800,0.015555555555555557,0.01934969701082615,0.010948121722379411,0.07555555555555556,0.09190831326456844,0.05200202361598178,0.29,0.27268215114956745,0.15428445110202083,0.5661111111111111,0.21121023722765975,0.1195034415726142,0.056316339767719104,0.028358976252171438,0.016045601321670717,0.21957106044315475,0.15267616396564607,0.08638467187711708,399.8594444444445,0.4868987270165846,0.275488888888889,126.63057577612828,33.989565690612494,19.23140720309132
id,50,camera_location_viewpoint,12,1800,0.26833333333333337,0.4456217991512398,0.25213426838279895,0.5,0.5222329678670935,0.2954811176862084,0.8333333333333334,0.3892494720807615,0.2202386217379924,0.9166666666666666,0.28867513459481287,0.16333333333333333,0.027900854397772085,0.05824957211611858,0.03295779801859315,0.4486000057009773,0.47169023247661385,0.26688387304060035,400.0,0.0,0.0,110.45454545454545,37.28099686532976,22.03166124444734
id,50,lighting_direction_intensity,12,1800,0.3333333333333333,0.49236596391733095,0.27858226937133096,0.5,0.5222329678670935,0.2954811176862084,0.615,0.4867050628273947,0.27537931305856306,1.0,0.0,0.0,0.012402919589205542,0.008496316289794038,0.004807243487092135,0.4356092708123227,0.40418340926410484,0.22868829213779937,400.0,0.0,0.0,111.79277777777777,34.858073969676255,19.72281202202798
ood,5,color,12,1800,0.16666666666666666,0.3892494720807615,0.2202386217379924,0.3333333333333333,0.49236596391733095,0.27858226937133096,0.6666666666666666,0.49236596391733095,0.27858226937133096,1.0,0.0,0.0,0.016650321271865526,0.010592630273251094,0.005993344780893944,0.4118805457403263,0.1350879200424503,0.07643318606075981,400.0,0.0,0.0,111.0,34.90506605585551,19.74940029776125
ood,5,spatial_distribution,12,1800,0.0016666666666666668,0.0030151134457776364,0.001705961028365839,0.016666666666666666,0.018963015572317596,0.010729336102418137,0.05111111111111111,0.043608296248345925,0.0246737163463258,0.17500000000000002,0.05916079783099617,0.033473372502134696,0.12959175009849586,0.010340387785279553,0.005850625157929143,0.371408092883519,0.1162423002587563,0.06577027287870198,400.0,0.0,0.0,143.524291056382,34.586078185570294,19.568915919639405
ood,5,camera_location_viewpoint,12,1800,0.02388888888888889,0.08275353858384636,0.04682222222222223,0.3333333333333333,0.49236596391733095,0.27858226937133096,0.75,0.45226701686664544,0.2558941542548758,1.0,0.0,0.0,0.01629525870524554,0.009785766634356704,0.005536818700561248,0.4165548768639564,0.1408913559929172,0.07971678906282209,400.0,0.0,0.0,111.91777777777777,34.134485341986476,19.313403214828323
ood,5,lighting_direction_intensity,12,1800,0.0,0.0,0.0,0.1811111111111111,0.3430797337408663,0.1941156330962184,0.5833333333333334,0.4206824662066835,0.23802351240562866,1.0,0.0,0.0,0.019238024684600532,0.009371816524132942,0.005302604377143858,0.3796052115741703,0.1907341949263394,0.10791803000870083,400.0,0.0,0.0,109.97000000000001,33.51327823686931,18.96192220725366
ood,20,color,12,1800,0.08333333333333333,0.28867513459481287,0.16333333333333333,0.25,0.45226701686664544,0.2558941542548758,0.855,0.343153821856242,0.1941575523937072,1.0,0.0,0.0,0.015087368065594799,0.006416887895268204,0.0036306961146188935,0.49208198986740576,0.3775108679168087,0.2135968811895032,400.0,0.0,0.0,117.20222222222223,47.72665090632284,27.003894853319093
ood,20,spatial_distribution,12,1800,0.003888888888888889,0.007763334352542101,0.004392519914684266,0.022777777777777775,0.02369133726237211,0.013404635946974894,0.0938888888888889,0.05674385711127963,0.03210585955449386,0.2511111111111111,0.10780953400741339,0.06099898621078047,0.11645428336522956,0.021098266618175085,0.011937468113209124,0.3593826176203503,0.12430104869356234,0.07032993904530538,399.7138888888889,0.671831257874505,0.38012431843217337,132.57632051315656,24.998599217024122,14.144289027566195
