split,budget,axis,task,train_config,variant,eval_config,n_models,rollouts_total,success_rate_at_0p5cm_mean,success_rate_at_0p5cm_std,success_rate_at_0p5cm_ci95,success_rate_at_1cm_mean,success_rate_at_1cm_std,success_rate_at_1cm_ci95,success_rate_at_2cm_mean,success_rate_at_2cm_std,success_rate_at_2cm_ci95,success_rate_at_5cm_mean,success_rate_at_5cm_std,success_rate_at_5cm_ci95,mean_best_distance_mean,mean_best_distance_std,mean_best_distance_ci95,mean_final_distance_mean,mean_final_distance_std,mean_final_distance_ci95,mean_steps_mean,mean_steps_std,mean_steps_ci95,mean_success_steps_mean,mean_success_steps_std,mean_success_steps_ci95
id,5,camera_location_viewpoint,avoid_reach,avoid_camera_fixed,fixed_train,avoid_camera_fixed,3,450,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.012706443046530088,0.0057766732731577885,0.006536921183785205,0.5375027457873026,0.01564335542926553,0.01770212311750628,400.0,0.0,0.0,145.66666666666666,1.5275252316519468,1.728557523228866
id,5,camera_location_viewpoint,avoid_reach,avoid_camera_multi_pose,diverse_train,avoid_camera_multi_pose,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.02238813550728891,0.012329052738291785,0.013951636557919478,0.5591491341590881,0.0369465613452693,0.04180896999111162,400.0,0.0,0.0,143.33333333333334,1.1547005383792515,1.3066666666666666
id,5,camera_location_viewpoint,reach,camera_fixed,fixed_train,camera_fixed,3,450,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.014643861912190914,0.011015411512208664,0.012465111571544023,0.2882818579673767,0.0252595385669964,0.028583858726871768,400.0,0.0,0.0,79.0,5.196152422706632,5.88
id,5,camera_location_viewpoint,reach,camera_multi_pose,diverse_train,camera_multi_pose,3,450,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.015492647455798253,0.011972280887534483,0.013547911202734417,0.28208794173267154,0.048624173357255815,0.055023431970791965,400.0,0.0,0.0,79.66666666666667,4.041451884327381,4.573333333333334
id,5,color,avoid_reach,avoid_color_multi,diverse_train,avoid_color_multi,3,450,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.02203246996841497,0.01251463076895644,0.014161637868800918,0.5361928164958955,0.007382926932356888,0.008354568309535031,400.0,0.0,0.0,144.33333333333334,0.5773502691896257,0.6533333333333333
id,5,color,avoid_reach,avoid_color_red_only,fixed_train,avoid_color_red_only,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.025071161488691967,0.008638191649786353,0.009775034057658828,0.5395079255104065,0.032272127522157155,0.036519350163989155,400.0,0.0,0.0,144.33333333333334,4.932882862316247,5.582082446940786
id,5,color,reach,color_multi,diverse_train,color_multi,3,450,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.010474416949889728,0.008131584247496482,0.009201753814291221,0.2787730271948708,0.053218283030425396,0.06022215646551456,400.0,0.0,0.0,78.66666666666667,2.0816659994661326,2.35562683330314
id,5,color,reach,color_red_only,fixed_train,color_red_only,3,450,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.009121479000896215,0.004660351299285163,0.005273683951234601,0.28985340396563214,0.02746529636052898,0.03107990864436354,400.0,0.0,0.0,77.0,1.0,1.1316065276116665
id,5,lighting_direction_intensity,avoid_reach,avoid_lighting_diverse,diverse_train,avoid_lighting_diverse,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.02146647325820393,0.00951439939242417,0.010766556458771663,0.5541502708858913,0.03336717053104137,0.03775850798085805,400.0,0.0,0.0,136.14888888888888,16.570450719187964,18.751230199300533
id,5,lighting_direction_intensity,avoid_reach,avoid_lighting_fixed,fixed_train,avoid_lighting_fixed,3,450,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.016915653211375076,0.011850866951323796,0.013410518399975377,0.5722631216049194,0.030056414563705263,0.03401203491689124,400.0,0.0,0.0,144.0,4.358898943540674,4.932558497710224
