budget,axis,task,train_config,variant,id_success_rate_at_1cm,ood_success_rate_at_1cm,id_minus_ood_success_rate_at_1cm,id_success_rate_at_2cm,ood_success_rate_at_2cm,id_minus_ood_success_rate_at_2cm,id_success_rate_at_5cm,ood_success_rate_at_5cm,id_minus_ood_success_rate_at_5cm,id_mean_best_distance,ood_mean_best_distance,id_minus_ood_mean_best_distance,id_mean_final_distance,ood_mean_final_distance,id_minus_ood_mean_final_distance
5,camera_location_viewpoint,avoid_reach,avoid_camera_fixed,fixed_train,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.012706443046530088,0.012674426066999636,3.201697953045257e-05,0.5375027457873026,0.5375642861260308,-6.154033872818321e-05
5,camera_location_viewpoint,avoid_reach,avoid_camera_multi_pose,diverse_train,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.02238813550728891,0.022410957842237417,-2.2822334948508632e-05,0.5591491341590881,0.5592134585645464,-6.432440545833806e-05
5,color,avoid_reach,avoid_color_multi,diverse_train,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.02203246996841497,0.02199962635835012,3.284361006484701e-05,0.5361928164958955,0.536241430176629,-4.861368073350025e-05
5,color,avoid_reach,avoid_color_red_only,fixed_train,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.025071161488691967,0.025034680983258617,3.648050543334988e-05,0.5395079255104065,0.5394923612806531,1.5564229753350922e-05
5,lighting_direction_intensity,avoid_reach,avoid_lighting_diverse,diverse_train,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.02146647325820393,0.020937670982546275,0.0005288022756576548,0.5541502708858913,0.5422701706488927,0.011880100236998592
5,lighting_direction_intensity,avoid_reach,avoid_lighting_fixed,fixed_train,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.016915653211375076,0.01666231120419171,0.00025334200718336516,0.5722631216049194,0.5695631498760647,0.002699971728854722
5,spatial_distribution,avoid_reach,avoid_spatial_narrow,narrow_train,0.022222222222222223,0.024444444444444446,-0.0022222222222222227,0.08666666666666667,0.06222222222222223,0.024444444444444442,0.41111111111111115,0.19333333333333336,0.2177777777777778,0.06974232405152482,0.12801560030422277,-0.058273276252697945,0.48747524282830357,0.5132979584485292,-0.025822715620225645
5,spatial_distribution,avoid_reach,avoid_spatial_wide,wide_train,0.03333333333333333,0.031111111111111114,0.002222222222222219,0.12,0.08222222222222221,0.037777777777777785,0.37333333333333335,0.2488888888888889,0.12444444444444444,0.08244129105160634,0.11785619888661636,-0.035414907835010015,0.2839478238444361,0.33139958053827284,-0.04745175669383672
5,camera_location_viewpoint,reach,camera_fixed,fixed_train,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.014643861912190914,0.01472162239977883,-7.776048758791586e-05,0.2882818579673767,0.28735029227203795,0.0009315656953387541
5,camera_location_viewpoint,reach,camera_multi_pose,diverse_train,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.015492647455798253,0.015374028511966268,0.00011861894383198568,0.28208794173267154,0.2820914704932107,-3.528760539162068e-06
5,color,reach,color_multi,diverse_train,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.010474416949889728,0.010481012475987275,-6.595526097547336e-06,0.2787730271948708,0.27792785561747024,0.0008451715774005497
5,color,reach,color_red_only,fixed_train,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.009121479000896215,0.00908596526986609,3.551373103012623e-05,0.28985340396563214,0.29386053588655264,-0.004007131920920504
5,lighting_direction_intensity,reach,lighting_diverse,diverse_train,0.0,0.39111111111111113,-0.39111111111111113,0.6666666666666666,0.8622222222222223,-0.1955555555555557,1.0,1.0,0.0,0.017607405618247057,0.011492649585836463,0.006114756032410594,0.24883143699003588,0.23991073512368732,0.008920701866348552
5,lighting_direction_intensity,reach,lighting_fixed,fixed_train,0.0,0.0,0.0,1.0,0.4711111111111111,0.528888888888889,1.0,1.0,0.0,0.016426455850402515,0.027859466965827678,-0.011433011115425162,0.1819058128943046,0.16667679064803653,0.01522902224626807
5,spatial_distribution,reach,spatial_narrow,narrow_train,0.04222222222222222,0.008888888888888889,0.033333333333333326,0.18444444444444444,0.03777777777777778,0.14666666666666667,0.5533333333333333,0.11111111111111112,0.44222222222222224,0.04885123003429423,0.13652559077884588,-0.08767436074455165,0.22545777804321712,0.2858193952590227,-0.0603616172158056
5,spatial_distribution,reach,spatial_wide,wide_train,0.0044444444444444444,0.0022222222222222222,0.0022222222222222222,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.1711111111111111,0.14666666666666667,0.024444444444444435,0.10395063804152112,0.13596961042429836,-0.03201897238277725,0.3268557822331786,0.3551154372882512,-0.028259655055072552
20,camera_location_viewpoint,avoid_reach,avoid_camera_fixed,fixed_train,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6622222222222223,0.004444444444444362,1.0,1.0,0.0,0.017184291190157335,0.016588663627497023,0.0005956275626603121,1.0079928636550903,1.0115277564525604,-0.0035348927974701017
20,camera_location_viewpoint,avoid_reach,avoid_camera_multi_pose,diverse_train,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.016003763870232637,0.01600372447632253,3.9393910106211294e-08,1.0884041062990824,1.0884088860617744,-4.7797626920864644e-06
20,color,avoid_reach,avoid_color_multi,diverse_train,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.0188645983984073,0.018838130241880812,2.646815652648793e-05,0.8687561841805777,0.8684388183222876,0.0003173658582900085
20,color,avoid_reach,avoid_color_red_only,fixed_train,0.0,0.0,0.0,1.0,0.7533333333333333,0.2466666666666667,1.0,1.0,0.0,0.014711497661968073,0.018252099230885506,-0.003540601568917433,0.9647542238235474,0.7592034995555877,0.20555072426795962
20,lighting_direction_intensity,avoid_reach,avoid_lighting_diverse,diverse_train,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.0,0.020701661590072844,0.020659585448188914,4.207614188393022e-05,0.8626363530423906,0.8263397188981374,0.036296634144253215
20,lighting_direction_intensity,avoid_reach,avoid_lighting_fixed,fixed_train,0.0,0.0,0.0,0.6666666666666666,0.4266666666666667,0.23999999999999994,1.0,0.8533333333333334,0.1466666666666666,0.02158987397948901,0.03954703689449363,-0.017957162915004623,0.8150175015131632,0.6398681410815982,0.17514936043156504
20,spatial_distribution,avoid_reach,avoid_spatial_narrow,narrow_train,0.0,0.017777777777777778,-0.017777777777777778,0.03333333333333333,0.044444444444444446,-0.011111111111111113,0.46222222222222226,0.19999999999999998,0.26222222222222225,0.061584960458179315,0.13069844408064255,-0.06911348362246322,0.3237976338466008,0.3650379959742229,-0.041240362127622054
